姓名      职称编号  工龄    年龄
曹东梅        3      31      52
陈甲才        3      27      45
陈远兴        4      10      33
寸金鸿        3      13      38
邓焰平        3      13      48
董峻麟        4       8      35
樊自春        1      48      68
方权          3      30      49
格桑加措      3      24      50
何磊          1      20      47
何良伦        3      20      38
金晓波        3      17      51
雷亚平        3      15      39
庞龙飞        0      43      74
王波          4       9      35
王钦贤        3      39      74
王伟洁        1      44      77
王夏          3      36      65
王彦军        0      40      59
肖潇          4      21      43
杨培          0      49      69
杨振          0      28      48
易飞          1      38      68
袁东勋        1      46      77
张磊          4       9      32
智铎强        1      42      75
钟玉婷        3      15      49
朱俊翔        1      31      63
王岚          4      11      41
孙迎河        1      48      68
曹阳          0      40      69
冯永岗        0      46      69
高雅洁        1      47      71
何帆          0      25      45
霍振雷        4       8      39
金亮宇        1      32      58
李沁泽        2      18      50
廖宗宝        3      24      45
刘国权        1      48      70
陆竑宇        2      28      55
满红梅        3      20      38
彭泽建        3      38      66
孙海涛        0      36      58
王生龙        3      26      47
王修平        4      27      46
吴瑾          4      23      43
向鹏          3      24      42
杨晓霞        2      38      67
张超          4      13      50
张乾          3      39      68
钟妮          3      25      44
贺玉川        4       7      30
黄佳          3      18      45
江南          2      43      78
冯海顺        0      46      78
汪玉玲        3      11      48
饶松          3      25      52
李永宗        2      24      60
刘蓓蓓        0      46      68
方俊          2      30      63
方明慧        0      25      62
方星          2      23      43
冯涛          4      10      38
高超          4      29      47
胡波          0      26      45
霍少磊        0      54      82
姜超          3      13      39
李翔          2      27      61
李正财        4      18      44
刘常利        1      30      51
刘力          3      38      60
刘勇          3      10      39
罗森文        0      39      68
梅芹芹        3      17      48
彭鸿燕        0      33      56
秦明举        1      49      77
宗睿元        3      19      50
潭松成        1      40      74
田阳辉        4      32      58
汪海洋        4       9      28
王梅          0      31      65
王琰          1      26      50
王智          2      36      58
夏健          0      41      60
杨加亮        2      36      58
杨立文        4      20      40
杨勇          3      34      53
尹金香        0      47      68
张冰冰        1      26      52
赵建州        3      32      57
智刚          2      36      66
邓柏松        1      40      72
董永刚        4       9      43
郭瑞玲        0      48      82
胡谦          2      19      42
黄俊          3      18      47
金鑫          2      16      48
李俊          4      13      33
李苗          4      10      40
梁洪才        4      14      50
刘德利        3      28      52
刘刚          4      13      37
路晓亮        1      42      73
罗旋峰        3      32      56
牛明远        2      32      55
沈芳          2      43      63
沈璟璟        2      33      61
唐开江        2      35      71
王强          4      27      53
王政          2      15      48
许艳华        0      27      52
杨勇          1      27      63
易星          2      43      72
尹丹          1      40      67
张成志        0      53      80
张飞          0      45      63
张涛          2      37      70
周文虎        0      37      56
朱杰清        4      23      47
朱永伟        4      11      37
王新荣        4      33      54
陈曦          0      30      49
陈勋          0      40      66
陈折          4       5      28
陈艮省        4      32      52
成浩          1      34      61
冯延俊        4       5      26
付磊          0      48      71
甘传奇        0      52      86
桂蕾          2      33      64
郭峰亮        1      44      66
韩博洋        1      49      82
李博          0      42      64
梁俊俊        2      28      50
林楠          0      43      69
刘伟          1      25      55
石步星        3      12      44
宋涛          1      26      60
谭维佳        2      24      42
田凯          4      14      35
王丹          1      41      68
王公位        4      20      43
王恒宇        0      41      69
王天奇        0      54      76
吴元莉        1      23      55
武登辉        4       5      38
肖莉丽        3      29      48
谢文涛        2      43      79
徐子一        1      38      62
许程          0      37      69
薛远超        4      15      45
杨艳霞        2      26      59
杨正辑        4       9      31
俞璟睿        2      40      58
张康          4      17      36
张爽          2      32      67
张玉峰        4      20      53
白云哲        4       5      26
陈杰          4      26      56
戴确男        2      24      50
董立          2      27      52
方莉丽        3      15      41
高书杰        3      39      71
洪柳          4      31      68
侯宗博        3      15      39
江潮          1      30      55
李栋广        2      22      52
李浩          1      34      59
刘俊红        1      33      53
刘园          1      26      47
聂琼          3      13      33
宁汉虎        3      26      44
彭聪          1      42      76
唐铭          0      40      62
王德富        1      47      74
邬彪彪        3      14      49
肖虎          3      28      57
杨栋          1      33      59
杨文和        2      41      70
杨云飞        2      17      38
姚品品        2      23      46
易峰          3      25      61
张晓兵        2      28      59
张行          1      20      46
张宗肖        1      30      57
赵远亮        2      29      56
郑希          1      35      60
周文雯        3      33      65
李涛涛        2      17      45
李永祥        1      22      57
葛鹏          2      15      35
李程          4       6      34
韩磊          3      27      48
曹进军        4      10      37
陈磊          2      27      55
张亮          2      33      57
王军伟        2      35      61
谭江渝        1      28      59
郑保红        0      38      62
叶春辉        2      15      45
朱龙剑        3      24      43
叶彬          3      33      58
徐玉军        0      43      62
温建荣        2      25      57
池小波        3      28      47
严志伟        3      36      61
鲁有海        3      29      62
宋吉峰        0      30      54
吴树春        1      23      41
刘佳          0      33      59
贾玉洁        2      28      46
麻晓雨        1      45      73
张春生        4      22      52
徐婷          2      23      53
史雅静        4      19      51
欧阳洋        3      22      47
程鲁文        2      40      66
杜威          4      22      43
冯培智        4      30      49
韩霞光        4      25      55
侯涛          3      23      52
胡程          4      18      47
黄愉晋        0      49      77
黄志全        2      44      62
姜兰          3      11      33
李杰          0      42      79
李晓峰        0      48      84
刘仁专        2      28      58
苗顺占        1      20      52
孙涛          0      52      75
王丹          4      15      38
王强          1      32      60
王西峰        4      13      50
吴剑          1      27      58
邢琼          3      10      45
徐华          1      36      64
严安          2      33      70
张朝阳        3      39      76
赵凯          4      29      59
周荣贵        0      33      58
姚鹏程        3      37      58
曾威          0      52      86
张良          4      17      46
张巍          4      26      60
张银峰        0      48      69
周兵          1      32      62
周晓宇        1      24      55
朱金全        2      31      49
付天宇        0      39      76
刘振一        1      20      56
